winner,turns,win_rate
Human,64,0.0
AI,26,0.5
Human,14,0.3333333333333333
Human,19,0.25
AI,67,0.4
AI,14,0.5
AI,85,0.5714285714285714
AI,34,0.625
AI,31,0.6666666666666666
Human,85,0.6
Human,56,0.5454545454545454
Human,61,0.5
Human,32,0.46153846153846156
Human,27,0.42857142857142855
Human,16,0.4
AI,28,0.4375
AI,71,0.47058823529411764
AI,30,0.5
Human,26,0.47368421052631576
Human,43,0.45
AI,77,0.47619047619047616
Human,111,0.45454545454545453
Human,26,0.43478260869565216
AI,32,0.4583333333333333
Human,30,0.44
AI,12,0.46153846153846156
Human,18,0.4444444444444444
AI,24,0.4642857142857143
AI,109,0.4827586206896552
AI,14,0.5
AI,37,0.5161290322580645
Human,79,0.5
AI,39,0.5151515151515151
AI,24,0.5294117647058824
Human,28,0.5142857142857142
AI,30,0.5277777777777778
AI,69,0.5405405405405406
AI,60,0.5526315789473685
Human,20,0.5384615384615384
Human,23,0.525
AI,67,0.5365853658536586
AI,24,0.5476190476190477
AI,55,0.5581395348837209
Human,43,0.5454545454545454
AI,25,0.5555555555555556
Human,17,0.5434782608695652
AI,95,0.5531914893617021
AI,42,0.5625
AI,117,0.5714285714285714
AI,34,0.58
Human,50,0.5686274509803921
Human,123,0.5576923076923077
AI,101,0.5660377358490566
AI,24,0.5740740740740741
AI,83,0.5818181818181818
AI,18,0.5892857142857143
Human,28,0.5789473684210527
AI,76,0.5862068965517241
AI,21,0.5932203389830508
Human,53,0.5833333333333334
AI,35,0.5901639344262295
AI,30,0.5967741935483871
AI,27,0.6031746031746031
Human,67,0.59375
Human,66,0.5846153846153846
Human,33,0.5757575757575758
AI,29,0.582089552238806
AI,38,0.5882352941176471
Human,38,0.5797101449275363
AI,16,0.5857142857142857
AI,39,0.5915492957746479
Human,73,0.5833333333333334
AI,21,0.589041095890411
Human,49,0.581081081081081
Human,56,0.5733333333333334
AI,42,0.5789473684210527
Human,30,0.5714285714285714
Human,13,0.5641025641025641
AI,21,0.569620253164557
AI,34,0.575
Human,30,0.5679012345679012
Human,73,0.5609756097560976
AI,43,0.5662650602409639
AI,22,0.5714285714285714
Human,16,0.5647058823529412
Human,39,0.5581395348837209
AI,53,0.5632183908045977
Human,41,0.5568181818181818
AI,15,0.5617977528089888
Human,51,0.5555555555555556
Human,18,0.5494505494505495
AI,18,0.5543478260869565
Human,56,0.5483870967741935
AI,72,0.5531914893617021
AI,29,0.5578947368421052
Human,33,0.5520833333333334
AI,25,0.5567010309278351
AI,56,0.5612244897959183
Human,54,0.5555555555555556
Human,47,0.55
AI,47,0.5544554455445545
Human,69,0.5490196078431373
AI,37,0.5533980582524272
Human,19,0.5480769230769231
Human,32,0.5428571428571428
AI,48,0.5471698113207547
AI,39,0.5514018691588785
Human,53,0.5462962962962963
Human,14,0.5412844036697247
AI,30,0.5454545454545454
AI,19,0.5495495495495496
Human,43,0.5446428571428571
AI,45,0.5486725663716814
Human,29,0.543859649122807
Human,36,0.5391304347826087
AI,14,0.5431034482758621
Human,50,0.5384615384615384
AI,22,0.5423728813559322
Human,32,0.5378151260504201
AI,56,0.5416666666666666
AI,43,0.5454545454545454
Human,37,0.5409836065573771
AI,67,0.5447154471544715
Human,23,0.5403225806451613
Human,12,0.536
AI,40,0.5396825396825397
Human,28,0.5354330708661418
Human,19,0.53125
Human,36,0.5271317829457365
Human,69,0.5230769230769231
Human,32,0.5190839694656488
AI,30,0.5227272727272727
Human,50,0.518796992481203
AI,46,0.5223880597014925
Human,46,0.5185185185185185
AI,26,0.5220588235294118
Human,108,0.5182481751824818
AI,22,0.5217391304347826
AI,11,0.5251798561151079
AI,54,0.5285714285714286
AI,39,0.5319148936170213
Human,77,0.528169014084507
AI,13,0.5314685314685315
AI,60,0.5347222222222222
AI,43,0.5379310344827586
Human,25,0.5342465753424658
Human,38,0.5306122448979592
AI,34,0.5337837837837838
Human,24,0.5302013422818792
Human,69,0.5266666666666666
AI,27,0.5298013245033113
AI,20,0.5328947368421053
AI,85,0.5359477124183006
Human,51,0.5324675324675324
AI,39,0.535483870967742
Human,15,0.532051282051282
AI,37,0.535031847133758
AI,22,0.5379746835443038
AI,63,0.5408805031446541
AI,70,0.54375
AI,49,0.546583850931677
Human,27,0.5432098765432098
AI,63,0.5460122699386503
Human,61,0.5426829268292683
Human,12,0.5393939393939394
AI,38,0.5421686746987951
Human,42,0.5389221556886228
AI,22,0.5416666666666666
AI,99,0.5443786982248521
AI,72,0.5470588235294118
Human,36,0.543859649122807
AI,68,0.5465116279069767
Human,32,0.5433526011560693
Human,59,0.5402298850574713
AI,59,0.5428571428571428
Human,111,0.5397727272727273
Human,32,0.536723163841808
AI,36,0.5393258426966292
Human,38,0.5363128491620112
AI,30,0.5388888888888889
Human,52,0.5359116022099447
AI,40,0.5384615384615384
AI,15,0.5409836065573771
Human,39,0.5380434782608695
AI,25,0.5405405405405406
Human,21,0.5376344086021505
Human,44,0.5347593582887701
Human,17,0.5319148936170213
Human,34,0.5291005291005291
AI,52,0.531578947368421
Human,50,0.5287958115183246
AI,52,0.53125
AI,25,0.533678756476684
AI,26,0.5360824742268041
Human,30,0.5333333333333333
AI,52,0.5357142857142857
AI,45,0.5380710659898477
Human,71,0.5353535353535354
Human,32,0.5326633165829145
AI,44,0.535
